Day of Year,Year of Period End,Period Begin,Period End,Adjusted Average Homes Sold Yoy,Adjusted Average Homes Sold,Average Homes Sold Yoy (tooltip)
1,2023,12/5/2022,1/1/2023,-0.349656357,189.25,-35.0%
4,2026,12/8/2025,1/4/2026,0.097240473,208.75,9.7%
5,2025,12/9/2024,1/5/2025,0.006613757,190.25,0.7%
7,2024,12/11/2023,1/7/2024,0.037037037,189.0,3.7%
8,2023,12/12/2022,1/8/2023,-0.339673913,182.25,-34.0%
11,2026,12/15/2025,1/11/2026,0.139310345,206.5,13.9%
12,2025,12/16/2024,1/12/2025,0.038681948,181.25,3.9%
14,2024,12/18/2023,1/14/2024,0.070552147,174.5,7.1%
15,2023,12/19/2022,1/15/2023,-0.362035225,163.0,-36.2%
18,2026,12/22/2025,1/18/2026,0.112121212,183.5,11.2%
19,2025,12/23/2024,1/19/2025,0.056,165.0,5.6%
21,2024,12/25/2023,1/21/2024,0.027960526,156.25,2.8%
22,2023,12/26/2022,1/22/2023,-0.400394477,152.0,-40.0%
25,2026,12/29/2025,1/25/2026,0.115044248,189.0,11.5%
26,2025,12/30/2024,1/26/2025,0.1281198,169.5,12.8%
28,2024,1/1/2024,1/28/2024,0.080935252,150.25,8.1%
29,2023,1/2/2023,1/29/2023,-0.405347594,139.0,-40.5%
32,2026,1/5/2026,2/1/2026,0.01953125,195.75,2.0%
33,2025,1/6/2025,2/2/2025,0.113043478,192.0,11.3%
35,2024,1/8/2024,2/4/2024,0.076443058,172.5,7.6%
36,2023,1/9/2023,2/5/2023,-0.336438923,160.25,-33.6%
39,2026,1/12/2026,2/8/2026,0.037533512,193.5,3.8%
40,2025,1/13/2025,2/9/2025,0.101920236,186.5,10.2%
42,2024,1/15/2024,2/11/2024,-0.025899281,169.25,-2.6%
43,2023,1/16/2023,2/12/2023,-0.259061834,173.75,-25.9%
47,2025,1/20/2025,2/16/2025,0.00665779,189.0,0.7%
49,2024,1/22/2024,2/18/2024,-0.022135417,187.75,-2.2%
50,2023,1/23/2023,2/19/2023,-0.231231231,192.0,-23.1%
54,2025,1/27/2025,2/23/2025,-0.005025126,198.0,-0.5%
56,2024,1/29/2024,2/25/2024,-0.026894866,199.0,-2.7%
57,2023,1/30/2023,2/26/2023,-0.205825243,204.5,-20.6%
61,2025,2/3/2025,3/2/2025,-0.046637744,219.75,-4.7%
63,2024,2/5/2024,3/3/2024,-0.039583333,230.5,-4.0%
64,2023,2/6/2023,3/5/2023,-0.141323792,240.0,-14.1%
68,2025,2/10/2025,3/9/2025,-0.044088176,238.5,-4.4%
70,2024,2/12/2024,3/10/2024,-0.010901883,249.5,-1.1%
71,2023,2/13/2023,3/12/2023,-0.149957877,252.25,-15.0%
75,2025,2/17/2025,3/16/2025,-0.026743075,254.75,-2.7%
77,2024,2/19/2024,3/17/2024,0.000956023,261.75,0.1%
78,2023,2/20/2023,3/19/2023,-0.141215107,261.5,-14.1%
82,2025,2/24/2025,3/23/2025,-0.018099548,271.25,-1.8%
84,2024,2/26/2024,3/24/2024,0.010978957,276.25,1.1%
85,2023,2/27/2023,3/26/2023,-0.108482871,273.25,-10.8%
89,2025,3/3/2025,3/30/2025,-0.044365572,269.25,-4.4%
91,2024,3/4/2024,3/31/2024,-0.012269939,281.75,-1.2%
92,2023,3/6/2023,4/2/2023,-0.093004769,285.25,-9.3%
96,2025,3/10/2025,4/6/2025,0.013745704,295.0,1.4%
98,2024,3/11/2024,4/7/2024,-0.000858369,291.0,-0.1%
99,2023,3/13/2023,4/9/2023,-0.08984375,291.25,-9.0%
103,2025,3/17/2025,4/13/2025,-0.030848329,282.75,-3.1%
105,2024,3/18/2024,4/14/2024,-0.00511509,291.75,-0.5%
106,2023,3/20/2023,4/16/2023,-0.068308181,293.25,-6.8%
110,2025,3/24/2025,4/20/2025,-0.02351987,301.0,-2.4%
112,2024,3/25/2024,4/21/2024,0.015650741,308.25,1.6%
113,2023,3/27/2023,4/23/2023,-0.072574484,303.5,-7.3%
117,2025,3/31/2025,4/27/2025,0.003478261,288.5,0.3%
119,2024,4/1/2024,4/28/2024,-0.041666667,287.5,-4.2%
120,2023,4/3/2023,4/30/2023,-0.092970522,300.0,-9.3%
124,2025,4/7/2025,5/4/2025,-0.03487429,297.5,-3.5%
126,2024,4/8/2024,5/5/2024,-0.00323363,308.25,-0.3%
127,2023,4/10/2023,5/7/2023,-0.091109478,309.25,-9.1%
131,2025,4/14/2025,5/11/2025,-0.052250804,294.75,-5.2%
133,2024,4/15/2024,5/12/2024,0.031509121,311.0,3.2%
134,2023,4/17/2023,5/14/2023,-0.14528703,301.5,-14.5%
138,2025,4/21/2025,5/18/2025,-0.061309031,283.25,-6.1%
140,2024,4/22/2024,5/19/2024,0.004995837,301.75,0.5%
141,2023,4/24/2023,5/21/2023,-0.157192982,300.25,-15.7%
145,2025,4/28/2025,5/25/2025,-0.117455139,270.5,-11.7%
147,2024,4/29/2024,5/26/2024,0.103510351,306.5,10.4%
148,2023,5/1/2023,5/28/2023,-0.193173566,277.75,-19.3%
152,2025,5/5/2025,6/1/2025,-0.131161236,260.0,-13.1%
154,2024,5/6/2024,6/2/2024,0.033678756,299.25,3.4%
155,2023,5/8/2023,6/4/2023,-0.160261059,289.5,-16.0%
159,2025,5/12/2025,6/8/2025,-0.081415929,259.5,-8.1%
161,2024,5/13/2024,6/9/2024,-0.030874786,282.5,-3.1%
162,2023,5/15/2023,6/11/2023,-0.087636933,291.5,-8.8%
166,2025,5/19/2025,6/15/2025,-0.114075437,240.75,-11.4%
168,2024,5/20/2024,6/16/2024,-0.053135889,271.75,-5.3%
169,2023,5/22/2023,6/18/2023,-0.073446328,287.0,-7.3%
173,2025,5/26/2025,6/22/2025,-0.051587302,239.0,-5.2%
175,2024,5/27/2024,6/23/2024,-0.064935065,252.0,-6.5%
176,2023,5/29/2023,6/25/2023,-0.046861185,269.5,-4.7%
180,2025,6/2/2025,6/29/2025,-0.125121242,225.5,-12.5%
182,2024,6/3/2024,6/30/2024,-0.053259871,257.75,-5.3%
183,2023,6/5/2023,7/2/2023,-0.050566696,272.25,-5.1%
187,2025,6/9/2025,7/6/2025,-0.051671733,234.0,-5.2%
189,2024,6/10/2024,7/7/2024,-0.041747573,246.75,-4.2%
190,2023,6/12/2023,7/9/2023,-0.073741007,257.5,-7.4%
194,2025,6/16/2025,7/13/2025,-0.036194416,233.0,-3.6%
196,2024,6/17/2024,7/14/2024,-0.004119464,241.75,-0.4%
197,2023,6/19/2023,7/16/2023,-0.077872745,242.75,-7.8%
