Day of Year,Last Updated,Year of Period End,Period Begin,Period End,Median Sale Price Yoy (tooltip),Median Sale Price Yoy,Median Sale Price
1,2/11/2026 2:38:10 PM,2023,12/5/2022,1/1/2023,11.85%,0.118548935,"452,872.5"
4,2/11/2026 2:38:10 PM,2026,12/8/2025,1/4/2026,-5.54%,-0.055435404,"435,875"
5,2/11/2026 2:38:10 PM,2025,12/9/2024,1/5/2025,-3.94%,-0.039393063,"461,456"
7,2/11/2026 2:38:10 PM,2024,12/11/2023,1/7/2024,2.95%,0.029482344,"480,379.625"
8,2/11/2026 2:38:10 PM,2023,12/12/2022,1/8/2023,15.70%,0.157049641,"466,622.5"
11,2/11/2026 2:38:10 PM,2026,12/15/2025,1/11/2026,-2.48%,-0.024803353,"424,625"
12,2/11/2026 2:38:10 PM,2025,12/16/2024,1/12/2025,-9.55%,-0.095526186,"435,425"
14,2/11/2026 2:38:10 PM,2024,12/18/2023,1/14/2024,5.69%,0.056890935,"481,412.5"
15,2/11/2026 2:38:10 PM,2023,12/19/2022,1/15/2023,14.37%,0.143681862,"455,498.75"
18,2/11/2026 2:38:10 PM,2026,12/22/2025,1/18/2026,-3.75%,-0.037518038,"416,875"
19,2/11/2026 2:38:10 PM,2025,12/23/2024,1/19/2025,-13.09%,-0.13088191,"433,125"
21,2/11/2026 2:38:10 PM,2024,12/25/2023,1/21/2024,14.27%,0.14268026,"498,350"
22,2/11/2026 2:38:10 PM,2023,12/26/2022,1/22/2023,7.15%,0.071493941,"436,123.75"
25,2/11/2026 2:38:10 PM,2026,12/29/2025,1/25/2026,-4.21%,-0.042060086,"418,500"
26,2/11/2026 2:38:10 PM,2025,12/30/2024,1/26/2025,-11.34%,-0.113394216,"436,875"
28,2/11/2026 2:38:10 PM,2024,1/1/2024,1/28/2024,15.67%,0.156690141,"492,750"
29,2/11/2026 2:38:10 PM,2023,1/2/2023,1/29/2023,3.08%,0.03079313,"426,000"
32,2/11/2026 2:38:10 PM,2026,1/5/2026,2/1/2026,-4.81%,-0.048079659,"418,250"
33,2/11/2026 2:38:10 PM,2025,1/6/2025,2/2/2025,-10.79%,-0.10786802,"439,375"
35,2/11/2026 2:38:10 PM,2024,1/8/2024,2/4/2024,18.57%,0.185675951,"492,500"
36,2/11/2026 2:38:10 PM,2023,1/9/2023,2/5/2023,0.61%,0.006085258,"415,374.875"
39,2/11/2026 2:38:10 PM,2026,1/12/2026,2/8/2026,-6.46%,-0.064579256,"418,250"
40,2/11/2026 2:38:10 PM,2025,1/13/2025,2/9/2025,-7.67%,-0.076664946,"447,125"
42,2/11/2026 2:38:10 PM,2024,1/15/2024,2/11/2024,15.19%,0.151948008,"484,250"
43,2/11/2026 2:38:10 PM,2023,1/16/2023,2/12/2023,-1.14%,-0.01143508,"420,374.875"
47,2/11/2026 2:38:10 PM,2025,1/20/2025,2/16/2025,-3.40%,-0.033953998,"441,000"
49,2/11/2026 2:38:10 PM,2024,1/22/2024,2/18/2024,5.73%,0.057325147,"456,500"
50,2/11/2026 2:38:10 PM,2023,1/23/2023,2/19/2023,3.20%,0.032030298,"431,749.875"
54,2/11/2026 2:38:10 PM,2025,1/27/2025,2/23/2025,-8.08%,-0.080817549,"425,975"
