Day of Year,Year of Period End,Period Begin,Period End,Adjusted Average New Listings Yoy,Adjusted Average New Listings,Average New Listings Yoy (tooltip)
1,2023,12/5/2022,1/1/2023,0.013126492,212.25,1.3%
4,2026,12/8/2025,1/4/2026,-0.259455371,244.75,-25.9%
5,2025,12/9/2024,1/5/2025,0.153577661,330.5,15.4%
7,2024,12/11/2023,1/7/2024,0.299319728,286.5,29.9%
8,2023,12/12/2022,1/8/2023,0.033997655,220.5,3.4%
11,2026,12/15/2025,1/11/2026,-0.254143646,270.0,-25.4%
12,2025,12/16/2024,1/12/2025,0.103658537,362.0,10.4%
14,2024,12/18/2023,1/14/2024,0.365244537,328.0,36.5%
15,2023,12/19/2022,1/15/2023,0.035560345,240.25,3.6%
18,2026,12/22/2025,1/18/2026,-0.205847255,332.75,-20.6%
19,2025,12/23/2024,1/19/2025,0.102631579,419.0,10.3%
21,2024,12/25/2023,1/21/2024,0.283783784,380.0,28.4%
22,2023,12/26/2022,1/22/2023,0.095282146,296.0,9.5%
25,2026,12/29/2025,1/25/2026,-0.206309464,396.25,-20.6%
26,2025,12/30/2024,1/26/2025,0.108213097,499.25,10.8%
28,2024,1/1/2024,1/28/2024,0.308641975,450.5,30.9%
29,2023,1/2/2023,1/29/2023,0.114979757,344.25,11.5%
32,2026,1/5/2026,2/1/2026,-0.199724518,435.75,-20.0%
33,2025,1/6/2025,2/2/2025,0.175391257,544.5,17.5%
35,2024,1/8/2024,2/4/2024,0.226340172,463.25,22.6%
36,2023,1/9/2023,2/5/2023,0.17496112,377.75,17.5%
39,2026,1/12/2026,2/8/2026,-0.161985019,447.5,-16.2%
40,2025,1/13/2025,2/9/2025,0.160869565,534.0,16.1%
42,2024,1/15/2024,2/11/2024,0.210526316,460.0,21.1%
43,2023,1/16/2023,2/12/2023,0.168332052,380.0,16.8%
47,2025,1/20/2025,2/16/2025,0.085744345,516.0,8.6%
49,2024,1/22/2024,2/18/2024,0.278412912,475.25,27.8%
50,2023,1/23/2023,2/19/2023,0.114692654,371.75,11.5%
54,2025,1/27/2025,2/23/2025,0.089576547,501.75,9.0%
56,2024,1/29/2024,2/25/2024,0.264241592,460.5,26.4%
57,2023,1/30/2023,2/26/2023,0.094665665,364.25,9.5%
61,2025,2/3/2025,3/2/2025,0.071310116,484.5,7.1%
63,2024,2/5/2024,3/3/2024,0.220647773,452.25,22.1%
64,2023,2/6/2023,3/5/2023,0.103499628,370.5,10.3%
68,2025,2/10/2025,3/9/2025,0.060234244,475.25,6.0%
70,2024,2/12/2024,3/10/2024,0.200937709,448.25,20.1%
71,2023,2/13/2023,3/12/2023,0.086608443,373.25,8.7%
75,2025,2/17/2025,3/16/2025,0.067256637,452.25,6.7%
77,2024,2/19/2024,3/17/2024,0.110019646,423.75,11.0%
78,2023,2/20/2023,3/19/2023,0.079915134,381.75,8.0%
82,2025,2/24/2025,3/23/2025,0.077156744,443.25,7.7%
84,2024,2/26/2024,3/24/2024,0.068137573,411.5,6.8%
85,2023,2/27/2023,3/26/2023,0.025282768,385.25,2.5%
89,2025,3/3/2025,3/30/2025,0.089285714,427.0,8.9%
91,2024,3/4/2024,3/31/2024,0.056603774,392.0,5.7%
92,2023,3/6/2023,4/2/2023,-0.052967454,371.0,-5.3%
96,2025,3/10/2025,4/6/2025,0.129366106,436.5,12.9%
98,2024,3/11/2024,4/7/2024,0.030666667,386.5,3.1%
99,2023,3/13/2023,4/9/2023,-0.067164179,375.0,-6.7%
103,2025,3/17/2025,4/13/2025,0.122772277,425.25,12.3%
105,2024,3/18/2024,4/14/2024,0.016096579,378.75,1.6%
106,2023,3/20/2023,4/16/2023,-0.088073394,372.75,-8.8%
110,2025,3/24/2025,4/20/2025,0.111409396,414.0,11.1%
112,2024,3/25/2024,4/21/2024,0.02124743,372.5,2.1%
113,2023,3/27/2023,4/23/2023,-0.096594427,364.75,-9.7%
117,2025,3/31/2025,4/27/2025,0.085324232,397.5,8.5%
119,2024,4/1/2024,4/28/2024,0.033874382,366.25,3.4%
120,2023,4/3/2023,4/30/2023,-0.102027883,354.25,-10.2%
124,2025,4/7/2025,5/4/2025,0.033837293,359.0,3.4%
126,2024,4/8/2024,5/5/2024,0.022827688,347.25,2.3%
127,2023,4/10/2023,5/7/2023,-0.125563426,339.5,-12.6%
131,2025,4/14/2025,5/11/2025,0.029213483,343.5,2.9%
133,2024,4/15/2024,5/12/2024,0.04296875,333.75,4.3%
134,2023,4/17/2023,5/14/2023,-0.172592114,320.0,-17.3%
138,2025,4/21/2025,5/18/2025,0.0,322.0,0.0%
140,2024,4/22/2024,5/19/2024,0.060955519,322.0,6.1%
