Day of Year,Year of Period End,Period Begin,Period End,Months Of Supply Yoy,Months Of Supply,months_of_supply (tooltip),months_of_supply_yoy (tooltip)
1,2023,12/5/2022,1/1/2023,11,16,15.7,11.2
4,2026,12/8/2025,1/4/2026,-4,29,28.5,-4.4
5,2025,12/9/2024,1/5/2025,5,33,32.9,5.5
7,2024,12/11/2023,1/7/2024,11,27,27.4,10.7
8,2023,12/12/2022,1/8/2023,12,17,16.7,12.1
11,2026,12/15/2025,1/11/2026,-6,29,29.0,-6.4
12,2025,12/16/2024,1/12/2025,5,35,35.4,5.4
14,2024,12/18/2023,1/14/2024,11,30,30.0,10.8
15,2023,12/19/2022,1/15/2023,14,19,19.2,14.3
18,2026,12/22/2025,1/18/2026,-7,31,31.4,-6.5
19,2025,12/23/2024,1/19/2025,4,38,37.9,3.7
21,2024,12/25/2023,1/21/2024,13,34,34.2,13.1
22,2023,12/26/2022,1/22/2023,16,21,21.1,16.1
25,2026,12/29/2025,1/25/2026,-8,31,30.7,-7.6
26,2025,12/30/2024,1/26/2025,2,38,38.2,1.6
28,2024,1/1/2024,1/28/2024,14,37,36.6,13.8
29,2023,1/2/2023,1/29/2023,17,23,22.8,17.3
32,2026,1/5/2026,2/1/2026,-6,30,30.2,-5.7
33,2025,1/6/2025,2/2/2025,2,36,36.0,2.2
35,2024,1/8/2024,2/4/2024,13,34,33.8,12.7
36,2023,1/9/2023,2/5/2023,16,21,21.1,15.7
39,2026,1/12/2026,2/8/2026,-8,31,31.0,-8.2
40,2025,1/13/2025,2/9/2025,4,39,39.1,3.8
42,2024,1/15/2024,2/11/2024,16,35,35.3,15.7
43,2023,1/16/2023,2/12/2023,14,20,19.6,14.0
47,2025,1/20/2025,2/16/2025,7,40,39.6,7.2
49,2024,1/22/2024,2/18/2024,15,32,32.4,14.7
50,2023,1/23/2023,2/19/2023,12,18,17.6,12.3
54,2025,1/27/2025,2/23/2025,7,38,38.2,7.4
56,2024,1/29/2024,2/25/2024,14,31,30.8,14.3
57,2023,1/30/2023,2/26/2023,11,17,16.5,11.4
61,2025,2/3/2025,3/2/2025,8,37,36.8,8.0
63,2024,2/5/2024,3/3/2024,14,29,28.8,13.7
64,2023,2/6/2023,3/5/2023,10,15,15.1,10.3
68,2025,2/10/2025,3/9/2025,6,32,32.4,6.4
70,2024,2/12/2024,3/10/2024,12,26,26.0,11.8
71,2023,2/13/2023,3/12/2023,10,14,14.2,9.7
75,2025,2/17/2025,3/16/2025,6,31,30.5,5.7
77,2024,2/19/2024,3/17/2024,11,25,24.8,11.0
78,2023,2/20/2023,3/19/2023,9,14,13.8,9.3
82,2025,2/24/2025,3/23/2025,5,28,28.2,5.0
84,2024,2/26/2024,3/24/2024,10,23,23.2,9.9
85,2023,2/27/2023,3/26/2023,9,13,13.2,8.7
89,2025,3/3/2025,3/30/2025,5,28,28.4,5.5
91,2024,3/4/2024,3/31/2024,10,23,22.9,9.9
92,2023,3/6/2023,4/2/2023,8,13,13.0,8.4
96,2025,3/10/2025,4/6/2025,4,26,25.7,3.7
98,2024,3/11/2024,4/7/2024,9,22,22.0,9.2
99,2023,3/13/2023,4/9/2023,8,13,12.8,8.0
103,2025,3/17/2025,4/13/2025,5,27,27.3,5.3
105,2024,3/18/2024,4/14/2024,9,22,21.9,9.1
106,2023,3/20/2023,4/16/2023,8,13,12.8,7.7
110,2025,3/24/2025,4/20/2025,5,26,25.7,5.0
112,2024,3/25/2024,4/21/2024,8,21,20.7,8.3
113,2023,3/27/2023,4/23/2023,7,12,12.4,7.4
117,2025,3/31/2025,4/27/2025,5,27,26.6,4.9
119,2024,4/1/2024,4/28/2024,9,22,21.7,9.2
120,2023,4/3/2023,4/30/2023,7,12,12.5,7.4
124,2025,4/7/2025,5/4/2025,6,26,25.9,5.7
126,2024,4/8/2024,5/5/2024,8,20,20.3,8.3
127,2023,4/10/2023,5/7/2023,7,12,12.0,6.9
131,2025,4/14/2025,5/11/2025,6,26,26.1,6.3
133,2024,4/15/2024,5/12/2024,7,20,19.8,7.4
134,2023,4/17/2023,5/14/2023,7,12,12.4,7.4
138,2025,4/21/2025,5/18/2025,7,27,26.7,6.5
140,2024,4/22/2024,5/19/2024,8,20,20.2,7.9
141,2023,4/24/2023,5/21/2023,7,12,12.3,7.2
145,2025,4/28/2025,5/25/2025,8,28,27.7,8.0
147,2024,4/29/2024,5/26/2024,7,20,19.7,6.9
148,2023,5/1/2023,5/28/2023,7,13,12.9,7.5
152,2025,5/5/2025,6/1/2025,8,28,28.1,8.1
154,2024,5/6/2024,6/2/2024,8,20,20.0,7.6
155,2023,5/8/2023,6/4/2023,7,12,12.4,6.9
159,2025,5/12/2025,6/8/2025,6,28,27.5,6.0
161,2024,5/13/2024,6/9/2024,9,22,21.5,9.3
